Load	Time
-32.516174	0.000000
-31.132507	0.024000
-33.208008	0.047000
-29.057007	0.071000
-33.899841	0.094000
-40.818176	0.118000
-28.365173	0.141000
-26.289673	0.164000
-27.673340	0.187000
-20.063171	0.209000
-26.981506	0.233000
-27.673340	0.256000
-27.673340	0.280000
-29.748840	0.303000
-23.522339	0.327000
-44.969177	0.350000
-26.981506	0.373000
-25.597839	0.396000
-37.359009	0.418000
-31.132507	0.442000
-28.365173	0.465000
-25.597839	0.489000
-18.679504	0.512000
-24.214172	0.536000
-29.748840	0.559000
-31.132507	0.582000
-43.585510	0.605000
-22.830505	0.627000
-24.906006	0.651000
-26.289673	0.674000
-24.214172	0.698000
-31.132507	0.721000
-29.748840	0.745000
-37.359009	0.768000
-31.824341	0.791000
-29.057007	0.814000
-22.138672	0.836000
-33.208008	0.860000
-29.057007	0.883000
-26.981506	0.907000
-14.528503	0.930000
-26.981506	0.953000
-30.440674	0.976000
-29.057007	0.999000
-27.673340	1.022000
-26.289673	1.044000
-24.906006	1.068000
-25.597839	1.091000
-19.371338	1.115000
-22.830505	1.138000
-29.057007	1.161000
-34.591675	1.184000
-31.824341	1.207000
-17.987671	1.230000
-20.755005	1.252000
-26.981506	1.276000
-31.132507	1.299000
-28.365173	1.323000
-26.289673	1.346000
-31.132507	1.370000
-30.440674	1.393000
-26.289673	1.416000
-35.283508	1.439000
-32.516174	1.461000
-24.906006	1.485000
-29.748840	1.508000
-32.516174	1.532000
-24.214172	1.555000
-32.516174	1.578000
-27.673340	1.601000
-30.440674	1.624000
-29.057007	1.647000
-13.144836	1.669000
-20.063171	1.693000
-29.057007	1.716000
-28.365173	1.740000
-32.516174	1.763000
-29.748840	1.786000
-38.050842	1.809000
-38.050842	1.832000
-37.359009	1.855000
-24.906006	1.877000
-43.585510	1.901000
-24.906006	1.924000
-31.824341	1.948000
-32.516174	1.971000
-26.981506	1.995000
-27.673340	2.018000
-30.440674	2.041000
-28.365173	2.064000
-18.679504	2.086000
-24.906006	2.110000
-28.365173	2.133000
-29.057007	2.157000
-28.365173	2.180000
-35.283508	2.203000
-36.667175	2.226000
-26.981506	2.249000
-30.440674	2.272000
-30.440674	2.294000
-38.050842	2.318000
-26.981506	2.341000
-26.289673	2.365000
-35.975342	2.388000
-19.371338	2.411000
-24.214172	2.434000
-30.440674	2.457000
-31.824341	2.480000
-26.981506	2.502000
-32.516174	2.526000
-26.289673	2.549000
-29.748840	2.573000
-29.748840	2.596000
-21.446838	2.620000
-24.214172	2.643000
-38.050842	2.666000
-21.446838	2.689000
-21.446838	2.711000
-30.440674	2.735000
-33.899841	2.758000
-17.987671	2.782000
-29.748840	2.805000
-25.597839	2.828000
-24.906006	2.851000
-21.446838	2.874000
-28.365173	2.897000
-15.912170	2.919000
-31.132507	2.943000
-26.981506	2.966000
-34.591675	2.990000
-25.597839	3.013000
-28.365173	3.036000
-16.604004	3.059000
-30.440674	3.082000
-32.516174	3.105000
-28.365173	3.127000
-28.365173	3.151000
-27.673340	3.174000
-28.365173	3.198000
-25.597839	3.221000
-40.818176	3.245000
-20.755005	3.268000
-31.132507	3.291000
-34.591675	3.314000
-20.755005	3.336000
-21.446838	3.360000
-31.824341	3.383000
-29.748840	3.407000
-31.824341	3.430000
-29.057007	3.453000
-26.289673	3.476000
-33.899841	3.499000
-29.748840	3.522000
-35.975342	3.544000
-31.824341	3.568000
-32.516174	3.591000
-19.371338	3.615000
-26.981506	3.638000
-37.359009	3.661000
-31.824341	3.684000
-40.818176	3.707000
-29.748840	3.730000
-26.289673	3.752000
-22.138672	3.776000
-27.673340	3.799000
-26.289673	3.823000
-33.899841	3.846000
-33.899841	3.870000
-33.899841	3.893000
-32.516174	3.916000
-28.365173	3.939000
-22.138672	3.961000
-33.208008	3.985000
-28.365173	4.008000
-32.516174	4.032000
-21.446838	4.055000
-28.365173	4.078000
-21.446838	4.101000
-33.208008	4.124000
-24.906006	4.147000
-33.208008	4.169000
-26.289673	4.193000
-23.522339	4.216000
-40.126343	4.240000
-29.748840	4.263000
-23.522339	4.286000
-29.057007	4.309000
-29.057007	4.332000
-26.289673	4.355000
-29.057007	4.377000
-24.214172	4.401000
-21.446838	4.424000
-30.440674	4.448000
-14.528503	4.471000
-29.748840	4.495000
-18.679504	4.518000
-29.057007	4.541000
-28.365173	4.564000
-29.057007	4.586000
-29.748840	4.610000
-35.975342	4.633000
-28.365173	4.657000
-21.446838	4.680000
-44.969177	4.703000
-22.138672	4.726000
-26.981506	4.749000
-28.365173	4.772000
-39.434509	4.794000
-33.208008	4.818000
-24.214172	4.841000
-22.830505	4.865000
-32.516174	4.888000
-24.214172	4.911000
-27.673340	4.934000
-31.824341	4.957000
-31.132507	4.980000
-26.981506	5.002000
-45.661011	5.026000
-33.208008	5.049000
-32.516174	5.073000
-31.824341	5.096000
-35.283508	5.120000
-26.981506	5.143000
-35.975342	5.166000
-28.365173	5.189000
-27.673340	5.211000
-18.679504	5.235000
-28.365173	5.258000
-24.906006	5.282000
-31.132507	5.305000
-30.440674	5.328000
-42.201843	5.351000
-35.283508	5.374000
-28.365173	5.397000
-31.824341	5.419000
-24.214172	5.443000
-22.138672	5.466000
-20.755005	5.490000
-29.057007	5.513000
-33.208008	5.536000
-30.440674	5.559000
-30.440674	5.582000
-23.522339	5.605000
-33.208008	5.627000
-22.830505	5.651000
-22.830505	5.674000
-27.673340	5.698000
-32.516174	5.721000
-28.365173	5.745000
-28.365173	5.768000
-27.673340	5.791000
-30.440674	5.814000
-28.365173	5.836000
-25.597839	5.860000
-24.214172	5.883000
-36.667175	5.907000
-37.359009	5.930000
-35.283508	5.953000
-32.516174	5.976000
-19.371338	5.999000
-33.899841	6.022000
-29.057007	6.044000
-25.597839	6.068000
-29.748840	6.091000
-29.748840	6.115000
-29.057007	6.138000
-26.981506	6.161000
-35.975342	6.184000
-29.748840	6.207000
-32.516174	6.230000
-29.057007	6.252000
-20.755005	6.276000
-29.748840	6.299000
-23.522339	6.323000
-31.132507	6.346000
-23.522339	6.370000
-31.824341	6.393000
-29.057007	6.416000
-29.057007	6.439000
-27.673340	6.461000
-29.748840	6.485000
-31.132507	6.508000
-47.736511	6.532000
-22.830505	6.555000
-28.365173	6.578000
-24.214172	6.601000
-31.824341	6.624000
-31.132507	6.647000
-26.981506	6.669000
-32.516174	6.693000
-26.289673	6.716000
-22.138672	6.740000
-25.597839	6.763000
-29.057007	6.786000
-23.522339	6.809000
-37.359009	6.832000
-27.673340	6.855000
-35.975342	6.877000
-24.906006	6.901000
-32.516174	6.924000
-29.057007	6.948000
-28.365173	6.971000
-25.597839	6.995000
-47.044678	7.018000
-33.899841	7.041000
-22.830505	7.064000
-12.453003	7.086000
-38.742676	7.110000
-23.522339	7.133000
-28.365173	7.157000
-29.748840	7.180000
-30.440674	7.203000
-35.975342	7.226000
-15.220337	7.249000
-29.057007	7.272000
-26.289673	7.294000
-34.591675	7.318000
-25.597839	7.341000
-29.057007	7.365000
-31.824341	7.388000
-29.748840	7.411000
-32.516174	7.434000
-28.365173	7.457000
-30.440674	7.480000
-32.516174	7.502000
-37.359009	7.526000
-25.597839	7.549000
-29.748840	7.573000
-29.057007	7.596000
-29.057007	7.620000
-27.673340	7.643000
-24.214172	7.666000
-28.365173	7.689000
-33.208008	7.711000
-22.830505	7.735000
-26.289673	7.758000
-43.585510	7.782000
-31.824341	7.805000
-33.208008	7.828000
-26.289673	7.851000
-28.365173	7.874000
-30.440674	7.897000
-27.673340	7.919000
-24.214172	7.943000
-24.906006	7.966000
-25.597839	7.990000
-25.597839	8.013000
-28.365173	8.036000
-25.597839	8.059000
-24.906006	8.082000
-28.365173	8.105000
-27.673340	8.127000
-32.516174	8.151000
-29.748840	8.174000
-30.440674	8.198000
-32.516174	8.221000
-30.440674	8.245000
-26.289673	8.268000
-37.359009	8.291000
-28.365173	8.314000
-29.748840	8.336000
-33.899841	8.360000
-22.830505	8.383000
-31.132507	8.407000
-29.748840	8.430000
-30.440674	8.453000
-29.748840	8.476000
-22.138672	8.499000
-29.748840	8.522000
-38.050842	8.544000
-41.510010	8.568000
-31.132507	8.591000
-27.673340	8.615000
-29.057007	8.638000
-30.440674	8.661000
-26.981506	8.684000
-22.830505	8.707000
-33.899841	8.730000
-31.132507	8.752000
-22.830505	8.776000
-20.755005	8.799000
-40.818176	8.823000
-29.748840	8.846000
-26.981506	8.870000
-29.748840	8.893000
-20.755005	8.916000
-29.748840	8.939000
-22.138672	8.961000
-19.371338	8.985000
-24.906006	9.008000
-25.597839	9.032000
-33.208008	9.055000
-27.673340	9.078000
-27.673340	9.101000
-30.440674	9.124000
-26.981506	9.147000
-30.440674	9.169000
-41.510010	9.193000
-20.063171	9.216000
-25.597839	9.240000
-30.440674	9.263000
-29.057007	9.286000
-26.289673	9.309000
-28.365173	9.332000
-24.214172	9.355000
-30.440674	9.377000
-33.208008	9.401000
-43.585510	9.424000
-35.975342	9.448000
-30.440674	9.471000
-29.748840	9.495000
-27.673340	9.518000
-29.748840	9.541000
-29.057007	9.564000
-29.057007	9.586000
-26.981506	9.610000
-29.748840	9.633000
-46.352844	9.657000
-32.516174	9.680000
-31.824341	9.703000
-29.057007	9.726000
-24.214172	9.749000
-22.138672	9.772000
-28.365173	9.794000
-31.824341	9.818000
-25.597839	9.841000
-28.365173	9.865000
-21.446838	9.888000
-28.365173	9.911000
-26.289673	9.934000
-21.446838	9.957000
-27.673340	9.980000
-24.906006	10.002000
-33.899841	10.026000
-24.906006	10.049000
-26.289673	10.073000
-35.283508	10.096000
-28.365173	10.120000
-26.981506	10.143000
-34.591675	10.166000
-26.289673	10.189000
-26.981506	10.211000
-24.906006	10.235000
-22.830505	10.258000
-27.673340	10.282000
-26.981506	10.305000
-31.132507	10.328000
-23.522339	10.351000
-33.899841	10.374000
-26.289673	10.397000
-27.673340	10.419000
-26.981506	10.443000
-34.591675	10.466000
-29.748840	10.490000
-28.365173	10.513000
-28.365173	10.536000
-25.597839	10.559000
-26.289673	10.582000
-31.132507	10.605000
-29.748840	10.627000
-31.132507	10.651000
-27.673340	10.674000
-40.126343	10.698000
-29.748840	10.721000
-23.522339	10.745000
-27.673340	10.768000
-32.516174	10.791000
-25.597839	10.814000
-30.440674	10.836000
-26.289673	10.860000
-26.289673	10.883000
-40.126343	10.907000
-28.365173	10.930000
-29.057007	10.953000
-38.050842	10.976000
-26.289673	10.999000
-26.289673	11.022000
-22.830505	11.044000
-27.673340	11.068000
-34.591675	11.091000
-25.597839	11.115000
-35.975342	11.138000
-29.057007	11.161000
-21.446838	11.184000
-22.830505	11.207000
-31.132507	11.230000
-22.830505	11.252000
-31.824341	11.276000
-26.289673	11.299000
-24.906006	11.323000
-27.673340	11.346000
-29.748840	11.370000
-31.824341	11.393000
-31.824341	11.416000
-29.057007	11.439000
-28.365173	11.461000
-28.365173	11.485000
-34.591675	11.508000
-27.673340	11.532000
-22.830505	11.555000
-32.516174	11.578000
-28.365173	11.601000
-26.289673	11.624000
-28.365173	11.647000
-31.132507	11.669000
-32.516174	11.693000
-26.289673	11.716000
-31.132507	11.740000
-31.824341	11.763000
-23.522339	11.786000
-24.906006	11.809000
-24.214172	11.832000
-24.906006	11.855000
-22.830505	11.877000
-28.365173	11.901000
-19.371338	11.924000
