Load	Time
-22.138672	0.000000
-35.975342	0.024000
-27.673340	0.047000
-33.899841	0.071000
-35.283508	0.094000
-29.057007	0.117000
-33.899841	0.140000
-34.591675	0.162000
-46.352844	0.186000
-30.440674	0.209000
-29.057007	0.233000
-33.208008	0.256000
-33.208008	0.279000
-25.597839	0.302000
-40.126343	0.325000
-24.906006	0.348000
-30.440674	0.370000
-34.591675	0.394000
-41.510010	0.417000
-34.591675	0.441000
-35.283508	0.464000
-34.591675	0.487000
-23.522339	0.510000
-32.516174	0.533000
-24.906006	0.556000
-33.208008	0.578000
-31.824341	0.602000
-34.591675	0.625000
-33.899841	0.649000
-40.818176	0.672000
-30.440674	0.696000
-32.516174	0.719000
-23.522339	0.742000
-26.981506	0.765000
-35.283508	0.787000
-35.975342	0.811000
-38.050842	0.834000
-44.969177	0.858000
-35.975342	0.881000
-31.132507	0.904000
-31.824341	0.927000
-18.679504	0.950000
-49.812012	0.973000
-30.440674	0.995000
-30.440674	1.019000
-28.365173	1.042000
-33.899841	1.066000
-22.138672	1.089000
-32.516174	1.112000
-31.132507	1.135000
-28.365173	1.158000
-34.591675	1.181000
-35.283508	1.203000
-31.824341	1.227000
-38.050842	1.250000
-29.057007	1.274000
-33.899841	1.297000
-31.132507	1.321000
-26.289673	1.344000
-41.510010	1.367000
-30.440674	1.390000
-33.208008	1.412000
-29.748840	1.436000
-32.516174	1.459000
-24.214172	1.483000
-35.283508	1.506000
-29.748840	1.529000
-38.050842	1.552000
-35.283508	1.575000
-33.899841	1.598000
-31.824341	1.620000
-26.289673	1.644000
-33.899841	1.667000
-23.522339	1.691000
-42.201843	1.714000
-40.126343	1.737000
-31.824341	1.760000
-31.132507	1.783000
-20.755005	1.806000
-37.359009	1.828000
-32.516174	1.852000
-21.446838	1.875000
-17.987671	1.899000
-35.283508	1.922000
-30.440674	1.946000
-34.591675	1.969000
-28.365173	1.992000
-26.981506	2.015000
-32.516174	2.037000
-33.208008	2.061000
-23.522339	2.084000
-20.063171	2.108000
-38.050842	2.131000
-29.748840	2.154000
-31.824341	2.177000
-32.516174	2.200000
-29.748840	2.223000
-29.057007	2.245000
-31.132507	2.269000
-38.742676	2.292000
-35.975342	2.316000
-26.981506	2.339000
-31.132507	2.362000
-35.283508	2.385000
-37.359009	2.408000
-30.440674	2.431000
-31.132507	2.453000
-30.440674	2.477000
-29.057007	2.500000
-33.208008	2.524000
-33.899841	2.547000
-33.208008	2.571000
-37.359009	2.594000
-35.283508	2.617000
-22.138672	2.640000
-32.516174	2.662000
-29.748840	2.686000
-31.824341	2.709000
-31.824341	2.733000
-35.283508	2.756000
-33.208008	2.779000
-32.516174	2.802000
-31.824341	2.825000
