NLoad	Load	Time	
0.000000	1012.697754	0.000000
0.000000	998.111572	0.024000
0.000000	1018.948975	0.047000
0.000000	1002.279053	0.070000
0.000000	1012.697754	0.093000
0.000000	1020.338135	0.115000
0.000000	1020.338135	0.139000
0.000000	1024.505615	0.162000
0.000000	996.027832	0.186000
0.000000	1018.948975	0.209000
0.000000	999.500732	0.233000
0.000000	1012.003174	0.256000
0.000000	1026.589355	0.279000
0.000000	1011.308594	0.302000
0.000000	1015.476074	0.324000
0.000000	1003.668213	0.348000
0.000000	998.806152	0.371000
0.000000	1018.948975	0.395000
0.000000	1014.086914	0.418000
0.000000	1000.889893	0.442000
0.000000	1017.559814	0.465000
0.000000	1004.362793	0.488000
0.000000	1014.086914	0.511000
0.000000	998.806152	0.533000
0.000000	982.136230	0.557000
0.000000	1031.451416	0.580000
0.000000	1016.170654	0.604000
0.000000	1008.530273	0.627000
0.000000	1021.727295	0.651000
0.000000	1017.559814	0.674000
0.000000	1016.170654	0.697000
0.000000	1000.889893	0.720000
0.000000	1014.086914	0.742000
0.000000	1017.559814	0.766000
0.000000	1004.362793	0.789000
0.000000	1027.978516	0.813000
0.000000	1006.446533	0.836000
0.000000	1013.392334	0.859000
0.000000	1012.003174	0.882000
0.000000	1000.889893	0.905000
0.000000	1023.811035	0.928000
0.000000	1000.889893	0.950000
0.000000	1036.313477	0.974000
0.000000	1013.392334	0.997000
0.000000	1030.062256	1.021000
0.000000	1030.756836	1.044000
0.000000	1009.919434	1.067000
0.000000	995.333252	1.090000
0.000000	1008.530273	1.113000
0.000000	1007.141113	1.136000
0.000000	1021.032715	1.158000
0.000000	1005.751953	1.182000
0.000000	1006.446533	1.205000
0.000000	1025.894775	1.229000
0.000000	1003.668213	1.252000
0.000000	1017.559814	1.276000
0.000000	1005.751953	1.299000
0.000000	1023.811035	1.322000
0.000000	1023.811035	1.345000
0.000000	1018.948975	1.367000
0.000000	1016.865234	1.391000
0.000000	1009.919434	1.414000
0.000000	1010.614014	1.438000
0.000000	1030.756836	1.461000
0.000000	1014.086914	1.484000
0.000000	1014.781494	1.507000
0.000000	1007.141113	1.530000
0.000000	1029.367676	1.553000
0.000000	1021.727295	1.575000
0.000000	992.554932	1.599000
0.000000	1018.254395	1.622000
0.000000	1022.421875	1.646000
0.000000	969.633789	1.669000
0.000000	1030.062256	1.692000
0.000000	1012.003174	1.715000
0.000000	1012.697754	1.738000
0.000000	1018.254395	1.761000
0.000000	1023.811035	1.783000
0.000000	1019.643555	1.807000
0.000000	1015.476074	1.830000
0.000000	1006.446533	1.854000
0.000000	989.776611	1.877000
0.000000	1009.919434	1.901000
0.000000	1022.421875	1.924000
0.000000	1014.781494	1.947000
0.000000	1007.835693	1.970000
0.000000	998.111572	1.992000
0.000000	1009.224854	2.016000
0.000000	1014.781494	2.039000
0.000000	1011.308594	2.063000
0.000000	1006.446533	2.086000
0.000000	1028.673096	2.109000
0.000000	1024.505615	2.132000
0.000000	1010.614014	2.155000
0.000000	1022.421875	2.178000
0.000000	1014.086914	2.200000
0.000000	1009.224854	2.224000
0.000000	1019.643555	2.247000
0.000000	1009.919434	2.271000
0.000000	1014.781494	2.294000
0.000000	1012.003174	2.317000
0.000000	1000.889893	2.340000
0.000000	1014.086914	2.363000
0.000000	1000.195312	2.386000
0.000000	1022.421875	2.408000
0.000000	1012.697754	2.432000
0.000000	1017.559814	2.455000
0.000000	1042.564697	2.479000
0.000000	1000.195312	2.502000
0.000000	1023.811035	2.526000
0.000000	1023.116455	2.549000
0.000000	1011.308594	2.572000
0.000000	1026.589355	2.595000
0.000000	1023.116455	2.617000
0.000000	1003.668213	2.641000
0.000000	1007.141113	2.664000
0.000000	1027.283936	2.688000
0.000000	1024.505615	2.711000
0.000000	1007.141113	2.734000
0.000000	1017.559814	2.757000
0.000000	1027.978516	2.780000
0.000000	1015.476074	2.803000
0.000000	1030.062256	2.825000
0.000000	1008.530273	2.849000
0.000000	1007.141113	2.872000
0.000000	1034.924316	2.896000
0.000000	1028.673096	2.919000
0.000000	1018.948975	2.942000
0.000000	1024.505615	2.965000
0.000000	1013.392334	2.988000
0.000000	993.944092	3.011000
0.000000	1026.589355	3.033000
0.000000	1013.392334	3.057000
0.000000	1018.254395	3.080000
0.000000	1007.141113	3.104000
0.000000	1010.614014	3.127000
0.000000	1012.003174	3.151000
0.000000	1005.057373	3.174000
0.000000	1027.978516	3.197000
0.000000	1009.919434	3.220000
0.000000	1024.505615	3.242000
0.000000	998.806152	3.266000
0.000000	1023.116455	3.289000
0.000000	1028.673096	3.313000
0.000000	1021.032715	3.336000
0.000000	1032.145996	3.359000
0.000000	1017.559814	3.382000
0.000000	1026.589355	3.405000
0.000000	1023.116455	3.428000
0.000000	1017.559814	3.450000
0.000000	1025.894775	3.474000
0.000000	1024.505615	3.497000
0.000000	1007.835693	3.521000
0.000000	1019.643555	3.544000
0.000000	1024.505615	3.567000
0.000000	1000.889893	3.590000
0.000000	1029.367676	3.613000
0.000000	1025.200195	3.636000
0.000000	1017.559814	3.658000
0.000000	1017.559814	3.682000
0.000000	1010.614014	3.705000
0.000000	1019.643555	3.729000
0.000000	1021.727295	3.752000
0.000000	1024.505615	3.776000
0.000000	1017.559814	3.799000
0.000000	1012.697754	3.823000
0.000000	1016.170654	3.847000
0.000000	1007.835693	3.870000
0.000000	1024.505615	3.894000
0.000000	1012.003174	3.917000
0.000000	1011.308594	3.941000
0.000000	1020.338135	3.964000
0.000000	999.500732	3.987000
0.000000	1019.643555	4.010000
0.000000	1002.973633	4.032000
0.000000	1014.086914	4.056000
0.000000	1025.894775	4.079000
0.000000	1009.919434	4.103000
0.000000	1016.170654	4.126000
0.000000	1021.727295	4.150000
0.000000	1014.086914	4.173000
0.000000	1028.673096	4.196000
0.000000	1025.200195	4.219000
0.000000	1023.811035	4.241000
0.000000	1027.283936	4.265000
0.000000	1025.200195	4.288000
0.000000	1033.535156	4.312000
0.000000	1031.451416	4.335000
0.000000	1035.618896	4.359000
0.000000	1027.283936	4.382000
0.000000	1016.170654	4.405000
0.000000	999.500732	4.428000
0.000000	1025.200195	4.450000
0.000000	1009.919434	4.474000
0.000000	1028.673096	4.497000
0.000000	1011.308594	4.521000
0.000000	1030.062256	4.544000
0.000000	1022.421875	4.567000
0.000000	1021.727295	4.590000
0.000000	1028.673096	4.613000
0.000000	1012.003174	4.636000
0.000000	1024.505615	4.658000
0.000000	1015.476074	4.682000
0.000000	1032.840576	4.705000
0.000000	1030.062256	4.729000
0.000000	1022.421875	4.752000
0.000000	1014.086914	4.776000
0.000000	1023.811035	4.799000
0.000000	1014.781494	4.822000
0.000000	1039.786377	4.845000
0.000000	1021.727295	4.867000
0.000000	1016.170654	4.891000
0.000000	1032.145996	4.914000
0.000000	995.333252	4.938000
0.000000	1025.894775	4.961000
0.000000	1019.643555	4.984000
0.000000	1024.505615	5.007000
0.000000	1025.200195	5.030000
0.000000	1006.446533	5.053000
0.000000	1017.559814	5.075000
0.000000	1022.421875	5.099000
0.000000	1030.756836	5.122000
0.000000	1033.535156	5.146000
0.000000	1021.727295	5.169000
0.000000	1017.559814	5.192000
0.000000	1023.116455	5.215000
0.000000	1014.781494	5.238000
0.000000	1039.091797	5.261000
0.000000	1029.367676	5.283000
0.000000	1025.200195	5.307000
0.000000	1025.200195	5.330000
0.000000	1013.392334	5.354000
0.000000	1015.476074	5.377000
0.000000	1021.032715	5.401000
0.000000	1011.308594	5.424000
0.000000	1027.283936	5.447000
0.000000	1016.865234	5.470000
0.000000	1018.254395	5.492000
0.000000	1009.224854	5.516000
0.000000	1019.643555	5.539000
0.000000	1026.589355	5.563000
0.000000	1029.367676	5.586000
0.000000	1033.535156	5.609000
0.000000	999.500732	5.632000
0.000000	1020.338135	5.655000
0.000000	1020.338135	5.678000
0.000000	1018.948975	5.700000
0.000000	1009.919434	5.724000
0.000000	1021.727295	5.747000
0.000000	1011.308594	5.771000
0.000000	1030.062256	5.794000
0.000000	1024.505615	5.817000
0.000000	1007.141113	5.840000
0.000000	1026.589355	5.863000
0.000000	1018.254395	5.886000
0.000000	1018.254395	5.908000
0.000000	1035.618896	5.932000
0.000000	1011.308594	5.955000
0.000000	1052.288818	5.979000
0.000000	1005.751953	6.002000
0.000000	1039.786377	6.026000
0.000000	1031.451416	6.049000
0.000000	1007.141113	6.072000
0.000000	1027.283936	6.095000
0.000000	1018.948975	6.117000
0.000000	1022.421875	6.141000
0.000000	1034.229736	6.164000
0.000000	1007.141113	6.188000
0.000000	1026.589355	6.211000
0.000000	1016.865234	6.234000
0.000000	1016.170654	6.257000
0.000000	1012.003174	6.280000
0.000000	1020.338135	6.303000
0.000000	1021.032715	6.325000
0.000000	1027.978516	6.349000
0.000000	1012.003174	6.372000
0.000000	1043.953857	6.396000
0.000000	1017.559814	6.419000
0.000000	1025.894775	6.442000
0.000000	1033.535156	6.465000
0.000000	1005.057373	6.488000
0.000000	1035.618896	6.511000
0.000000	1044.648437	6.533000
0.000000	1024.505615	6.557000
0.000000	1034.924316	6.580000
0.000000	1002.973633	6.604000
0.000000	1020.338135	6.627000
0.000000	1017.559814	6.651000
0.000000	1008.530273	6.674000
0.000000	1037.702637	6.697000
0.000000	1007.835693	6.720000
0.000000	1021.032715	6.742000
0.000000	1027.978516	6.766000
0.000000	1019.643555	6.789000
0.000000	1030.062256	6.813000
0.000000	1018.948975	6.836000
0.000000	1037.008057	6.859000
0.000000	1027.283936	6.882000
0.000000	1018.254395	6.905000
0.000000	1034.924316	6.928000
0.000000	1025.200195	6.950000
0.000000	1008.530273	6.974000
0.000000	1034.229736	6.997000
0.000000	1014.086914	7.021000
0.000000	1025.894775	7.044000
0.000000	1007.141113	7.067000
0.000000	1002.279053	7.090000
0.000000	1034.924316	7.113000
0.000000	1018.254395	7.136000
0.000000	1027.978516	7.158000
0.000000	1016.170654	7.182000
0.000000	1015.476074	7.205000
0.000000	1028.673096	7.229000
0.000000	1022.421875	7.252000
0.000000	1020.338135	7.276000
0.000000	1016.865234	7.299000
0.000000	1010.614014	7.322000
0.000000	1014.086914	7.345000
0.000000	1040.480957	7.367000
0.000000	1039.091797	7.391000
0.000000	1027.978516	7.414000
0.000000	1027.978516	7.438000
0.000000	1016.865234	7.461000
0.000000	1016.170654	7.484000
0.000000	1018.254395	7.507000
0.000000	1043.259277	7.530000
0.000000	1020.338135	7.553000
0.000000	1037.702637	7.575000
0.000000	1042.564697	7.599000
0.000000	1026.589355	7.622000
0.000000	1036.313477	7.646000
0.000000	1023.116455	7.669000
0.000000	1012.003174	7.692000
0.000000	1028.673096	7.715000
0.000000	1028.673096	7.738000
0.000000	1021.032715	7.761000
0.000000	1032.840576	7.783000
0.000000	1031.451416	7.807000
0.000000	1021.032715	7.830000
0.000000	1014.086914	7.854000
0.000000	1020.338135	7.877000
0.000000	1012.697754	7.901000
0.000000	1025.200195	7.924000
0.000000	1029.367676	7.947000
0.000000	1016.865234	7.970000
0.000000	1018.948975	7.992000
0.000000	1027.283936	8.016000
0.000000	1018.254395	8.039000
0.000000	1066.875000	8.063000
0.000000	1030.062256	8.086000
0.000000	1027.283936	8.109000
0.000000	1013.392334	8.132000
0.000000	1025.200195	8.155000
0.000000	1027.978516	8.178000
0.000000	1011.308594	8.200000
0.000000	1033.535156	8.224000
0.000000	1027.978516	8.247000
0.000000	1012.003174	8.271000
0.000000	1030.062256	8.294000
0.000000	1016.865234	8.317000
0.000000	1014.086914	8.340000
0.000000	1023.116455	8.363000
0.000000	1015.476074	8.386000
0.000000	1027.978516	8.408000
0.000000	1026.589355	8.432000
0.000000	1016.865234	8.455000
0.000000	1029.367676	8.479000
0.000000	1025.200195	8.502000
0.000000	1014.086914	8.526000
0.000000	1023.116455	8.549000
0.000000	1013.392334	8.572000
0.000000	1011.308594	8.595000
0.000000	997.416992	8.617000
