Load 	Time
-23.522339	0
-21.446838	0.023
-24.906006	0.045
-20.063171	0.069
-22.138672	0.092
-27.67334	0.116
-20.063171	0.139
-24.906006	0.163
-9.685669	0.186
-27.67334	0.209
-21.446838	0.232
-18.679504	0.254
-11.761169	0.278
-11.761169	0.301
-14.528503	0.325
-15.220337	0.348
-15.91217	0.371
-15.220337	0.394
-18.679504	0.417
-12.453003	0.44
-15.220337	0.462
-6.226501	0.486
-11.069336	0.509
-20.063171	0.533
-3.459167	0.556
-15.91217	0.579
-12.453003	0.602
-10.377502	0.625
-13.83667	0.648
-9.685669	0.67
-11.761169	0.694
-8.993835	0.717
-5.534668	0.741
-11.069336	0.764
-6.918335	0.788
-5.534668	0.811
-12.453003	0.834
-10.377502	0.857
-3.459167	0.879
-0.691833	0.903
-4.842834	0.926
-4.842834	0.95
-4.842834	0.973
-0.691833	0.996
-6.918335	1.019
3.459167	1.042
0	1.065
-16.604004	1.087
-7.610168	1.111
-2.0755	1.134
-4.842834	1.158
3.459167	1.181
2.0755	1.204
4.151001	1.227
0.691833	1.25
3.459167	1.273
2.767334	1.295
6.918335	1.319
17.295837	1.342
2.0755	1.366
-2.0755	1.389
6.918335	1.413
8.302002	1.436
10.377502	1.459
6.226501	1.482
4.151001	1.504
10.377502	1.528
7.610168	1.551
9.685669	1.575
16.604004	1.598
4.151001	1.621
15.220337	1.644
2.767334	1.667
11.069336	1.69
15.220337	1.712
23.522339	1.736
25.597839	1.759
20.063171	1.783
12.453003	1.806
16.604004	1.829
15.91217	1.852
18.679504	1.875
11.761169	1.898
32.516174	1.92
11.761169	1.944
27.67334	1.967
21.446838	1.991
18.679504	2.014
21.446838	2.038
18.679504	2.061
14.528503	2.084
20.755005	2.107
24.214172	2.129
27.67334	2.153
18.679504	2.176
24.906006	2.2
28.365173	2.223
24.214172	2.246
32.516174	2.269
22.138672	2.292
20.063171	2.315
20.063171	2.337
18.679504	2.361
25.597839	2.384
24.214172	2.408
21.446838	2.431
27.67334	2.454
26.289673	2.477
20.755005	2.5
19.371338	2.523
30.440674	2.545
20.755005	2.569
40.818176	2.592
30.440674	2.616
37.359009	2.639
37.359009	2.663
31.132507	2.686
28.365173	2.709
38.742676	2.732
43.58551	2.754
31.824341	2.778
35.283508	2.801
45.661011	2.825
33.899841	2.848
40.818176	2.871
40.126343	2.894
35.283508	2.917
47.044678	2.94
40.818176	2.962
43.58551	2.986
42.201843	3.009
41.51001	3.033
53.271179	3.056
38.742676	3.079
56.730347	3.102
44.277344	3.125
56.038513	3.148
50.503845	3.17
51.887512	3.194
56.730347	3.217
53.271179	3.241
61.573181	3.264
50.503845	3.288
56.038513	3.311
39.434509	3.334
58.114014	3.357
38.742676	3.379
47.044678	3.403
54.654846	3.426
69.18335	3.45
60.881348	3.473
57.42218	3.496
55.34668	3.519
65.724182	3.542
60.189514	3.565
51.887512	3.587
63.648682	3.611
57.42218	3.634
55.34668	3.658
72.642517	3.681
73.334351	3.704
65.724182	3.727
71.950684	3.75
69.18335	3.773
71.25885	3.795
70.567017	3.819
76.101685	3.842
74.718018	3.866
80.944519	3.889
65.724182	3.913
74.718018	3.936
74.026184	3.959
70.567017	3.982
72.642517	4.004
72.642517	4.028
73.334351	4.051
80.944519	4.075
69.875183	4.098
71.25885	4.121
78.177185	4.144
78.177185	4.167
76.101685	4.19
81.636353	4.212
87.862854	4.236
83.02002	4.259
78.869019	4.283
79.560852	4.306
81.636353	4.329
74.718018	4.352
94.089355	4.375
82.328186	4.398
81.636353	4.42
97.548523	4.444
87.171021	4.467
89.246521	4.491
83.02002	4.514
74.026184	4.538
87.862854	4.561
89.246521	4.584
91.322021	4.607
90.630188	4.629
89.938354	4.653
102.391357	4.676
88.554687	4.7
89.246521	4.723
85.787354	4.746
91.322021	4.769
91.322021	4.792
69.18335	4.815
97.548523	4.837
98.93219	4.861
93.397522	4.884
96.856689	4.908
101.699524	4.931
91.322021	4.954
93.397522	4.977
101.699524	5
100.315857	5.023
98.240356	5.045
94.781189	5.069
101.699524	5.092
101.699524	5.116
100.315857	5.139
95.473022	5.163
98.93219	5.186
115.536194	5.209
107.234192	5.232
109.309692	5.254
105.158691	5.278
116.919861	5.301
108.617859	5.325
109.309692	5.348
110.693359	5.371
112.077026	5.394
111.385193	5.417
112.76886	5.44
110.001526	5.462
118.995361	5.486
108.617859	5.509
110.001526	5.533
116.228027	5.556
123.838196	5.579
115.536194	5.602
118.303528	5.625
113.460693	5.648
107.234192	5.67
110.001526	5.694
131.448364	5.717
120.379028	5.741
107.234192	5.764
125.913696	5.788
113.460693	5.811
125.913696	5.834
119.687195	5.857
121.762695	5.879
112.76886	5.903
125.221863	5.926
116.228027	5.95
127.989197	5.973
125.221863	5.996
140.4422	6.019
125.221863	6.042
136.983032	6.065
141.825867	6.087
123.146362	6.111
134.907532	6.134
132.140198	6.158
141.134033	6.181
136.983032	6.204
146.668701	6.227
132.832031	6.25
140.4422	6.273
136.291199	6.295
140.4422	6.319
139.058533	6.342
139.058533	6.366
129.372864	6.389
127.297363	6.413
132.140198	6.436
141.134033	6.459
136.983032	6.482
134.215698	6.504
141.134033	6.528
147.360535	6.551
133.523865	6.575
131.448364	6.598
124.530029	6.621
134.215698	6.644
139.058533	6.667
149.436035	6.69
132.832031	6.712
134.215698	6.736
143.209534	6.759
144.593201	6.783
141.825867	6.806
158.429871	6.829
136.291199	6.852
150.819702	6.875
150.127869	6.898
142.5177	6.92
154.27887	6.944
