Time	Load
0.000	0.00
0.000	0.610
0.006	4.272
0.045	47.607
0.049	62.866
0.055	65.918
0.099	76.904
0.132	81.177
0.136	89.111
0.140	89.111
0.164	88.501
0.208	89.111
0.252	97.046
0.256	87.891
0.264	86.060
0.305	87.280
0.336	86.060
0.376	85.449
0.395	87.280
0.399	83.618
0.405	89.722
0.427	86.670
0.431	79.956
0.458	81.787
0.501	75.073
0.534	81.787
0.566	78.735
0.604	75.684
0.637	76.904
0.641	77.515
0.654	75.684
0.701	79.956
0.730	70.190
0.759	70.801
0.794	59.204
0.824	77.515
0.855	72.632
0.860	67.749
0.883	71.411
0.917	65.918
0.949	69.580
0.981	69.580
1.013	67.139
1.044	61.646
1.048	59.814
1.054	60.425
1.087	65.308
1.122	61.035
1.148	61.646
1.152	68.970
1.161	61.646
1.208	61.035
1.251	61.646
1.285	57.373
1.289	62.866
1.312	55.542
1.345	58.594
1.379	53.711
1.417	61.035
1.451	54.932
1.456	62.256
1.481	61.646
1.514	57.983
1.543	56.152
1.575	54.321
1.605	57.373
1.639	58.594
1.644	53.711
1.669	55.542
1.701	56.763
1.732	54.932
1.761	48.828
1.791	61.035
1.824	53.711
1.854	56.763
1.859	57.373
1.898	53.711
1.902	52.490
1.910	57.983
1.960	56.763
1.973	56.152
2.014	49.438
2.044	50.049
2.047	50.049
2.052	53.711
2.087	50.659
2.117	51.270
2.121	51.270
2.128	54.932
2.169	53.101
2.198	54.321
2.203	54.932
2.214	52.490
2.261	53.101
2.292	48.828
2.332	59.204
2.355	53.711
2.386	53.101
2.420	51.270
2.455	52.490
2.459	50.659
2.486	52.490
2.523	51.270
2.563	59.814
2.583	56.763
2.588	57.373
2.591	53.711
2.599	51.270
2.639	51.270
2.670	50.659
2.673	43.945
2.678	59.204
2.701	53.711
2.730	50.659
2.760	57.373
2.795	46.387
2.828	41.504
2.854	53.101
2.859	51.880
2.882	48.218
2.937	50.659
2.957	49.438
2.962	55.542
2.966	48.218
2.973	51.270
3.013	51.880
3.043	50.659
3.047	47.607
3.053	50.659
3.076	46.997
3.080	53.101
3.088	51.270
3.123	51.880
3.154	48.828
3.187	49.438
3.214	39.673
3.243	48.828
3.247	51.270
3.271	48.218
3.314	50.659
3.347	50.659
3.391	49.438
3.418	52.490
3.450	48.828
3.454	48.828
3.466	48.828
3.514	48.828
3.545	51.270
3.578	48.828
3.604	44.556
3.646	46.997
3.652	56.152
3.674	46.997
3.704	48.218
3.730	47.607
3.760	46.387
3.795	50.659
3.828	50.049
3.854	53.101
3.859	48.828
3.883	45.776
3.928	47.607
3.963	43.945
3.966	50.659
3.970	50.659
3.994	43.945
4.036	53.711
4.081	45.776
4.086	48.218
4.110	50.659
4.143	48.828
4.170	56.152
4.203	47.607
4.229	47.607
4.234	45.166
4.257	46.997
4.312	50.049
4.335	48.828
4.339	45.166
4.343	36.011
4.367	46.997
4.411	45.166
4.456	48.218
4.461	44.556
4.486	46.997
4.519	46.387
4.523	48.828
4.528	50.049
4.551	54.321
4.595	48.218
4.629	48.218
4.667	48.218
4.672	47.607
4.678	44.556
4.715	47.607
4.743	49.438
4.775	46.997
4.805	47.607
4.810	46.387
4.817	48.828
4.877	43.335
4.910	46.997
4.954	53.711
4.980	47.607
5.013	46.387
5.046	50.659
5.049	46.997
5.055	46.387
5.084	53.711
5.089	49.438
5.092	47.607
5.117	36.621
5.161	43.945
5.187	44.556
5.216	46.997
5.250	46.997
5.255	53.711
5.259	45.776
5.293	44.556
5.323	45.166
5.327	45.776
5.333	46.997
5.355	56.152
5.388	46.997
5.419	48.218
5.453	51.270
5.457	46.997
5.484	46.387
5.524	45.776
5.529	47.607
5.534	47.607
5.556	45.166
5.589	45.776
5.627	48.828
5.656	50.049
5.660	51.880
5.684	50.049
5.727	45.776
5.756	50.659
5.760	42.725
5.764	50.659
5.789	47.607
5.834	46.997
5.839	47.607
5.842	46.997
5.866	47.607
5.910	46.997
5.953	42.725
5.979	46.387
6.011	47.607
6.042	46.387
6.047	40.283
6.054	49.438
6.086	44.556
6.089	45.166
6.093	49.438
6.118	44.556
6.151	48.828
6.184	44.556
6.217	43.945
6.250	44.556
6.254	42.725
6.288	45.166
6.292	42.114
6.297	46.997
6.319	50.659
6.349	53.711
6.387	46.997
6.422	46.387
6.455	42.114
6.460	31.128
6.495	46.387
6.500	51.880
6.507	40.283
6.538	48.828
6.542	42.725
6.549	46.387
6.587	47.607
6.618	40.283
6.648	45.166
6.653	54.932
6.660	46.387
6.715	42.725
6.748	45.776
6.781	42.114
6.815	36.621
6.848	40.894
6.854	41.504
6.878	44.556
6.911	42.725
6.956	45.776
6.983	45.776
7.017	45.776
7.046	46.387
7.049	45.166
7.054	45.166
7.078	46.997
7.104	44.556
7.138	46.387
7.170	41.504
7.204	47.607
7.230	51.270
7.236	50.659
7.259	51.270
7.294	45.166
7.328	43.945
7.354	39.062
7.386	45.166
7.418	46.387
7.460	43.335
7.464	46.997
7.475	45.166
7.516	46.387
7.547	43.945
7.550	46.387
7.554	47.607
7.578	48.828
7.605	48.218
7.638	45.166
7.643	31.738
7.668	46.387
7.712	43.945
7.743	46.387
7.774	47.607
7.778	40.283
7.785	43.335
