Time	Load
0.000	0.00
0.000	3.662
0.020	32.959
0.075	50.049
0.117	61.035
0.122	65.308
0.145	65.308
0.182	64.697
0.242	65.918
0.247	66.528
0.255	68.359
0.287	67.749
0.320	66.528
0.325	66.528
0.347	53.101
0.381	63.477
0.412	54.932
0.446	62.256
0.451	62.866
0.473	64.087
0.527	62.866
0.556	54.932
0.560	61.035
0.568	64.697
0.598	55.542
0.603	64.087
0.611	56.763
0.643	56.152
0.683	55.542
0.713	51.880
0.739	46.997
0.768	56.763
0.772	56.152
0.780	57.373
0.816	53.101
0.845	54.932
0.850	56.763
0.854	51.270
0.892	51.880
0.933	50.659
0.963	51.880
0.967	52.490
0.974	52.490
1.005	41.504
1.034	48.218
1.038	50.049
1.062	49.438
1.092	56.763
1.118	49.438
1.149	49.438
1.180	53.711
1.212	48.828
1.242	52.490
1.247	42.725
1.270	46.997
1.304	46.997
1.334	44.556
1.368	42.114
1.401	46.997
1.430	46.997
1.435	39.062
1.441	45.166
1.472	43.335
1.503	43.945
1.508	46.387
1.514	42.725
1.561	46.387
1.595	34.790
1.651	43.335
1.678	41.504
1.683	46.997
1.689	44.556
1.711	43.335
1.740	43.945
1.770	42.725
1.803	40.894
1.836	41.504
1.841	45.166
1.864	36.011
1.912	39.062
1.941	43.335
1.945	40.283
1.953	45.776
1.987	38.452
2.028	37.231
2.032	41.504
2.055	42.114
2.095	42.114
2.135	42.114
2.139	39.673
2.143	42.725
2.167	40.283
2.199	32.349
2.229	41.504
2.234	40.283
2.258	43.335
2.299	37.842
2.339	42.114
2.369	46.997
2.396	39.062
2.401	39.673
2.413	37.842
2.442	31.128
2.472	37.231
2.476	40.894
2.480	46.387
2.505	40.894
2.538	43.335
2.571	44.556
2.604	40.283
2.634	47.607
2.638	40.283
2.645	39.673
2.677	40.894
2.706	38.452
2.746	25.635
2.772	37.231
2.803	42.114
2.837	50.049
2.842	38.452
2.864	39.673
2.911	37.842
2.943	39.062
2.947	40.894
2.955	39.673
2.998	42.725
3.026	35.400
3.030	36.011
