Time	Load
0.000	0.00
0.000	-1.221
0.023	114.746
0.057	173.340
0.061	177.002
0.084	183.105
0.125	210.571
0.173	214.233
0.214	220.337
0.254	218.506
0.259	220.947
0.266	219.116
0.305	221.558
0.338	217.285
0.396	214.233
0.429	209.961
0.434	206.299
0.446	205.078
0.480	203.857
0.524	203.857
0.562	195.312
0.592	190.430
0.597	193.481
0.620	191.650
0.663	194.092
0.689	189.209
0.718	187.378
0.752	183.105
0.756	182.495
0.781	185.547
0.826	180.664
0.856	177.002
0.860	179.443
0.868	175.781
0.908	170.898
0.911	172.119
0.917	170.288
0.941	169.067
0.945	172.119
0.968	172.119
1.001	167.236
1.034	164.185
1.063	165.405
1.094	162.964
1.124	171.509
1.158	149.536
1.162	162.354
1.170	154.419
1.206	158.691
1.211	151.367
1.223	161.133
1.255	158.081
1.286	158.691
1.320	159.912
1.367	162.354
1.400	155.640
1.405	153.198
1.431	147.095
1.475	153.198
1.501	152.588
1.533	151.978
1.562	148.926
1.567	149.536
1.590	148.926
1.645	148.315
1.667	151.367
1.671	158.081
1.679	146.484
1.709	144.653
1.733	140.381
1.737	147.705
1.761	149.536
1.806	145.874
1.846	144.653
1.876	147.705
1.910	148.315
1.940	148.926
1.946	144.043
1.980	144.043
2.019	144.043
2.024	145.874
2.032	147.095
2.059	144.043
2.063	145.264
2.071	146.484
2.105	153.198
2.109	143.433
2.119	145.264
2.159	142.822
2.163	142.212
2.169	143.433
2.191	142.212
2.220	143.433
2.249	150.757
2.290	142.822
2.328	142.212
2.370	137.329
2.374	139.160
2.379	139.160
2.411	138.550
2.415	139.160
2.419	137.329
2.445	140.991
2.473	139.160
2.500	137.329
2.532	139.160
2.563	127.563
2.568	135.498
2.591	135.498
2.624	139.771
2.658	141.602
2.687	137.939
2.729	139.160
2.765	133.057
2.770	139.160
2.793	142.212
2.844	140.381
2.873	139.771
2.903	147.705
2.935	137.329
2.967	128.174
2.972	123.901
2.995	134.888
3.038	140.381
3.065	139.160
3.093	140.991
3.127	132.446
3.158	134.277
3.162	137.939
3.167	135.498
3.200	133.667
3.230	135.498
3.270	134.277
3.274	135.498
3.282	136.108
3.309	134.888
3.313	136.108
3.321	137.329
3.375	139.771
3.411	134.277
3.415	136.719
3.420	137.329
3.444	133.667
3.477	121.460
3.481	132.446
3.486	139.160
3.511	134.888
3.555	134.277
3.560	134.888
3.584	134.888
3.621	131.836
3.626	138.550
3.630	129.395
3.655	123.291
3.687	135.498
3.726	129.395
3.752	130.005
3.757	133.057
3.782	140.381
3.832	138.550
3.855	137.939
3.859	134.277
3.867	130.615
3.896	131.226
3.900	133.667
3.908	128.174
3.936	133.057
3.941	139.160
3.964	134.277
4.002	133.057
4.033	132.446
4.063	131.226
4.093	131.836
4.124	133.057
4.158	131.836
4.162	128.174
4.172	131.836
4.200	121.460
4.203	140.381
4.207	121.460
4.231	126.343
4.266	134.277
4.301	126.343
4.334	126.953
4.366	129.395
4.370	134.277
4.376	131.836
4.398	130.615
4.426	130.005
4.458	129.395
4.489	128.174
4.515	126.953
4.557	125.122
4.562	128.174
4.586	130.615
4.640	130.005
4.670	126.953
4.674	136.719
4.680	128.174
4.702	130.005
4.739	127.563
4.773	130.615
4.778	134.277
4.788	131.226
4.817	130.005
4.847	134.277
4.874	129.395
4.878	128.174
4.883	131.836
4.905	127.563
4.942	130.005
4.974	130.615
4.978	128.784
5.001	136.108
5.035	133.057
5.066	130.005
5.098	128.784
5.125	128.784
5.158	129.395
5.162	131.226
5.170	137.329
5.219	136.719
5.249	130.615
5.286	132.446
5.313	127.563
5.347	127.563
5.351	130.005
5.374	127.563
5.419	128.784
5.450	125.122
5.483	128.784
5.513	117.798
5.518	131.836
5.531	139.771
5.586	126.953
5.612	128.784
5.642	130.005
5.673	125.122
5.706	136.108
5.740	133.667
5.770	133.057
5.776	129.395
5.799	125.122
5.834	127.563
5.866	126.343
5.899	128.174
5.929	128.174
5.963	126.953
5.968	136.108
5.991	128.784
6.023	126.953
6.052	127.563
6.085	127.563
6.115	129.395
6.146	123.291
6.151	126.343
6.174	129.395
6.207	127.563
6.237	127.563
6.266	125.122
6.297	122.681
6.332	130.005
6.367	126.953
6.371	125.732
6.379	128.174
6.410	127.563
6.437	129.395
6.441	125.732
6.450	127.563
6.480	113.525
6.516	128.174
6.543	130.005
6.548	125.732
6.555	127.563
6.590	115.356
6.594	125.732
6.602	126.953
6.651	124.512
6.683	123.901
6.724	123.291
6.751	123.901
6.756	126.343
6.764	126.953
6.794	127.563
6.799	126.343
6.806	127.563
6.847	129.395
6.880	128.784
6.907	119.019
6.911	126.953
6.915	126.953
6.939	124.512
6.944	126.953
6.968	128.174
7.002	127.563
7.032	120.850
7.063	123.291
7.096	126.953
7.125	122.681
7.156	128.174
7.161	114.746
7.166	122.070
7.198	129.395
7.203	122.681
7.206	120.850
7.231	122.681
7.276	124.512
7.315	123.901
7.349	111.694
7.353	125.122
7.377	125.122
7.417	128.174
7.451	126.343
7.480	125.122
7.521	121.460
7.526	123.901
7.550	123.291
7.581	115.967
7.615	124.512
7.648	130.615
7.681	121.460
7.726	122.681
7.752	122.070
7.757	124.512
7.781	124.512
7.825	125.122
7.856	125.122
7.889	123.901
7.920	122.070
7.951	122.070
7.955	123.901
7.959	131.226
7.995	121.460
8.027	122.070
8.068	123.901
8.098	130.005
8.129	125.122
8.157	122.070
8.161	122.681
8.165	122.070
8.200	123.901
8.231	124.512
8.235	112.305
8.243	122.681
8.285	122.070
8.313	125.732
8.318	122.681
8.341	124.512
8.392	126.953
8.418	124.512
8.423	117.798
8.428	124.512
8.453	121.460
8.488	122.681
8.521	122.070
8.555	123.901
8.559	123.291
8.583	126.343
8.624	123.291
8.658	122.681
8.689	119.019
8.719	122.070
8.724	121.460
8.731	112.915
8.784	117.798
8.814	118.408
8.847	129.395
8.875	130.615
8.910	122.070
8.941	120.239
8.975	127.563
8.980	122.681
9.011	114.746
9.015	119.019
9.023	119.629
9.064	117.798
9.068	125.122
9.076	120.239
9.107	123.901
9.137	131.836
9.142	121.460
9.150	118.408
9.211	120.850
9.249	120.239
9.291	121.460
9.330	120.239
9.361	122.070
9.366	121.460
9.390	122.681
9.395	123.291
9.419	119.629
9.460	120.850
9.494	120.239
9.538	117.187
9.566	120.239
9.571	117.187
9.595	119.629
9.639	119.629
9.668	108.032
9.699	120.239
9.703	117.187
9.706	122.681
9.732	123.901
9.769	116.577
9.774	121.460
9.808	117.187
9.849	120.239
9.853	121.460
9.860	123.901
9.891	121.460
9.920	118.408
9.956	121.460
9.960	115.967
9.966	120.850
9.989	122.681
10.023	118.408
10.054	122.070
10.086	120.850
10.120	119.629
10.164	116.577
10.169	128.174
10.177	128.174
10.207	116.577
10.212	118.408
10.219	114.136
10.256	117.187
10.290	117.187
10.331	120.239
10.359	119.629
10.363	123.291
10.387	119.629
10.423	117.798
10.454	117.798
10.491	108.643
10.522	116.577
10.556	119.019
10.561	121.460
10.595	119.019
10.600	120.850
10.608	120.239
10.639	119.629
10.667	119.629
10.671	122.070
10.679	119.019
10.720	117.798
10.725	118.408
10.750	120.239
10.792	120.850
10.797	121.460
10.807	130.005
10.841	119.019
10.871	116.577
10.875	119.629
10.879	119.019
10.904	117.798
10.940	119.019
10.970	117.798
10.975	107.422
10.999	109.863
11.044	119.019
11.075	118.408
11.078	126.953
11.083	115.356
11.109	118.408
11.148	120.850
11.182	117.187
11.187	113.525
11.211	116.577
11.261	119.019
11.292	117.187
11.296	121.460
11.304	119.019
11.347	117.187
11.377	120.239
11.381	119.629
11.406	121.460
11.441	119.019
11.478	120.850
11.522	119.019
11.552	115.356
11.557	115.967
11.581	115.967
11.622	117.187
11.653	118.408
11.683	114.746
11.716	125.732
11.751	113.525
11.756	109.253
11.783	120.239
11.814	120.239
11.844	122.070
11.875	112.915
11.909	113.525
11.941	117.798
11.945	109.863
11.971	111.084
12.000	115.967
12.035	119.629
12.065	119.629
12.096	115.356
12.127	122.681
12.159	114.746
