Time	Load
0.000	0.00
0.000	34.790
0.010	-4.883
0.051	36.011
0.089	81.787
0.136	83.008
0.186	98.877
0.209	86.060
0.213	97.046
0.221	100.708
0.257	98.267
0.262	94.604
0.268	98.267
0.303	98.267
0.327	97.656
0.360	90.332
0.365	91.553
0.388	92.773
0.442	91.553
0.467	84.839
0.472	87.891
0.480	92.163
0.513	82.397
0.542	87.891
0.577	84.229
0.582	81.177
0.588	84.229
0.609	81.787
0.649	79.956
0.692	75.684
0.717	76.294
0.750	75.684
0.755	78.735
0.761	78.735
0.795	72.632
0.826	62.256
0.855	59.204
0.886	69.580
0.890	73.242
0.898	73.242
0.934	72.632
0.989	72.632
1.021	68.970
1.026	68.359
1.050	68.970
1.082	67.749
1.112	67.139
1.144	65.308
1.174	63.477
1.179	62.866
1.203	60.425
1.246	61.646
1.286	64.087
1.316	57.373
1.320	57.373
1.328	59.204
1.358	61.646
1.362	61.646
1.385	62.256
1.429	57.373
1.463	57.373
1.505	61.035
1.533	56.152
1.564	57.983
1.569	57.983
1.613	58.594
1.639	63.477
1.643	52.490
1.648	56.152
1.670	59.814
1.703	56.763
1.745	55.542
1.783	65.308
1.788	54.932
1.810	59.204
1.844	45.166
1.877	44.556
1.907	54.321
1.940	54.321
1.970	54.932
1.975	54.321
2.000	52.490
2.051	52.490
2.074	52.490
2.078	53.711
2.083	54.321
2.105	51.880
2.149	55.542
2.178	50.659
2.183	53.711
2.206	55.542
2.255	53.101
2.285	51.270
2.315	50.049
2.320	51.880
2.332	49.438
2.377	51.270
2.417	59.814
2.450	59.204
2.479	59.204
2.484	53.101
2.492	61.646
2.533	57.373
2.563	52.490
2.568	53.101
2.576	52.490
2.615	49.438
2.619	52.490
2.626	51.880
2.653	53.711
2.683	55.542
2.687	54.932
2.692	52.490
2.714	51.880
2.758	50.049
2.763	50.659
2.769	49.438
2.792	50.049
2.835	51.880
2.869	48.828
2.906	50.049
2.935	50.659
2.969	49.438
2.974	53.101
3.010	51.270
3.015	51.270
3.023	50.049
3.052	53.711
3.075	49.438
3.079	51.880
3.085	50.049
3.128	50.659
3.158	44.556
3.163	50.659
3.169	47.607
3.219	45.166
3.252	50.049
3.283	49.438
3.316	48.218
3.346	53.711
3.351	53.101
3.375	49.438
3.421	51.270
3.450	49.438
3.481	46.997
3.511	49.438
3.516	45.776
3.521	49.438
3.543	48.828
3.587	51.880
3.592	54.932
3.617	51.270
3.660	48.218
3.690	53.101
3.694	49.438
3.699	48.218
3.721	52.490
3.754	48.828
3.759	45.166
3.784	48.828
3.824	44.556
3.858	46.997
3.862	47.607
3.870	50.659
3.910	46.387
3.940	45.776
3.966	50.659
3.971	44.556
3.996	48.218
4.043	46.997
4.074	43.335
4.078	48.828
4.084	54.321
4.117	45.776
4.139	48.218
4.143	44.556
4.155	55.542
4.185	52.490
4.215	33.569
4.255	45.166
4.287	46.387
4.316	48.828
4.321	54.321
4.333	45.776
4.379	46.387
4.406	47.607
4.438	46.997
4.471	48.828
4.501	42.114
4.534	46.997
4.565	42.725
4.570	48.828
4.596	45.776
4.630	46.387
4.656	47.607
4.697	44.556
4.736	45.776
4.770	45.776
4.775	53.101
4.798	49.438
4.831	47.607
4.860	31.738
4.893	49.438
4.926	45.166
4.961	46.387
4.996	46.997
5.000	43.335
5.006	51.270
5.048	48.828
5.053	47.607
5.059	45.166
5.081	46.997
5.111	47.607
5.142	45.166
5.172	43.945
5.177	41.504
5.202	36.011
5.252	46.997
5.280	47.607
5.284	46.997
5.292	45.776
5.326	38.452
5.357	51.270
5.361	45.776
5.386	48.218
5.431	48.218
5.470	46.997
5.503	50.049
5.532	48.828
5.573	53.711
5.578	46.997
5.601	43.945
5.638	43.335
5.667	45.166
5.699	47.607
5.740	46.387
5.745	43.335
5.752	45.776
5.800	42.114
5.833	43.335
5.868	42.114
5.900	43.945
5.944	40.894
5.971	45.166
5.976	44.556
6.013	42.725
6.045	45.166
6.077	46.997
6.107	42.114
6.138	41.504
6.143	42.725
6.167	46.387
6.220	41.504
6.250	45.166
6.254	40.894
6.258	43.945
6.282	48.828
6.316	45.776
6.346	42.114
6.351	44.556
6.375	47.607
6.418	43.335
6.450	41.504
6.454	47.607
6.458	43.945
6.481	36.621
6.523	32.349
6.553	41.504
6.558	43.335
6.583	51.880
6.622	44.556
6.653	43.945
6.693	42.725
6.723	42.725
6.753	44.556
6.758	42.725
6.782	50.659
6.815	44.556
6.845	46.387
6.879	46.387
6.910	45.166
6.940	42.114
6.970	43.945
6.975	43.945
7.002	42.114
7.043	43.335
7.075	45.166
7.105	53.101
7.136	42.725
7.141	40.283
7.149	43.335
7.208	45.166
7.241	42.725
7.271	43.945
7.304	50.049
7.334	38.452
7.369	43.335
7.374	42.114
7.397	41.504
7.441	47.607
7.467	36.011
7.498	42.114
7.501	41.504
7.506	43.945
7.530	33.569
7.573	43.945
7.577	42.114
7.602	31.738
7.647	41.504
7.676	43.335
7.703	40.894
7.745	39.062
7.775	42.725
7.780	42.725
7.804	44.556
7.848	49.438
7.878	43.335
7.882	45.776
7.887	37.231
7.910	31.128
7.940	37.842
7.971	41.504
7.976	42.725
8.002	43.945
8.043	40.894
8.075	43.335
8.107	29.907
8.140	51.270
8.169	36.621
8.174	40.283
8.180	46.997
8.202	40.283
8.243	42.114
8.273	40.894
8.303	31.738
8.334	45.166
8.363	39.062
8.368	42.725
8.392	42.725
8.436	39.062
8.466	43.335
8.470	41.504
8.478	42.725
8.513	40.283
8.543	49.438
8.575	42.725
8.579	39.673
8.588	42.725
8.628	45.166
8.659	43.335
8.690	39.673
8.720	44.556
8.750	41.504
8.755	40.283
8.759	43.945
8.793	43.335
8.825	41.504
8.855	42.114
8.886	40.283
8.890	42.114
8.898	44.556
8.939	37.231
8.969	39.673
8.974	39.673
9.000	42.114
9.052	42.114
9.076	46.997
9.111	43.335
9.115	42.114
9.125	39.673
9.153	39.673
9.157	45.776
9.165	41.504
9.200	42.114
9.204	42.725
9.208	41.504
9.231	32.349
9.272	44.556
9.305	41.504
9.336	40.894
9.368	40.894
9.373	36.621
9.407	38.452
9.433	42.725
9.474	42.114
9.504	39.062
9.536	46.997
9.565	33.569
9.570	38.452
9.593	41.504
9.636	39.062
9.677	49.438
9.681	40.283
9.686	43.335
9.708	43.945
9.742	40.894
9.774	42.114
9.779	37.231
9.803	39.673
9.838	37.231
9.843	39.673
9.868	41.504
9.906	40.894
9.948	42.114
9.994	43.335
9.999	37.231
10.026	41.504
10.070	40.894
10.096	36.621
10.127	42.114
10.157	40.283
10.162	40.283
10.186	39.673
10.233	42.114
10.262	39.062
10.294	40.283
10.326	41.504
10.331	44.556
10.355	38.452
10.409	36.011
10.414	37.842
10.421	43.335
10.449	38.452
10.490	39.673
10.511	39.062
10.516	39.062
10.522	40.283
10.545	41.504
10.550	38.452
10.555	42.725
10.578	44.556
10.620	40.283
10.651	39.673
10.695	37.842
10.722	39.673
10.757	39.673
10.762	30.518
10.788	39.673
10.821	43.335
10.866	35.400
10.896	46.387
10.930	40.894
10.969	33.569
10.974	37.231
11.002	37.842
11.006	40.283
11.011	41.504
11.036	38.452
11.070	39.062
11.097	39.673
11.132	33.569
11.159	43.945
11.165	40.894
11.200	40.283
11.230	39.062
11.261	39.673
11.295	39.062
11.324	37.231
11.329	39.062
11.353	40.894
11.404	40.894
11.434	41.504
11.438	37.231
11.446	43.945
11.488	39.062
11.509	39.673
11.513	43.335
11.518	42.725
11.542	40.283
11.547	39.062
11.552	34.180
11.576	49.438
11.609	35.400
11.645	36.621
11.678	47.607
11.709	40.283
11.740	34.180
11.770	42.114
11.775	45.776
11.800	39.673
11.842	39.673
11.873	47.607
11.903	39.062
11.907	39.062
11.912	40.283
11.935	41.504
11.970	40.283
11.976	40.894
12.013	42.725
12.017	28.076
12.024	44.556
12.058	43.335
12.099	39.673
12.129	39.062
12.134	36.621
12.142	39.062
12.188	39.673
12.220	49.438
12.250	40.283
12.282	40.283
12.315	42.725
12.349	48.828
12.382	34.790
12.387	37.842
12.420	38.452
12.452	40.283
12.456	37.842
12.459	37.842
12.484	37.231
12.520	38.452
12.555	37.842
12.560	35.400
12.572	42.114
12.611	40.283
12.636	40.283
12.677	34.790
12.702	36.011
12.732	35.400
12.737	40.283
12.746	38.452
12.805	33.569
12.836	42.114
12.868	42.725
12.907	37.842
12.941	45.166
12.971	37.231
12.976	40.894
13.004	40.894
13.047	37.842
13.075	37.842
13.079	40.894
13.086	37.842
13.127	39.062
13.132	37.231
13.139	39.062
13.162	39.673
13.195	40.283
13.220	39.062
13.254	39.673
13.284	40.283
13.315	39.062
13.348	39.673
13.383	36.621
13.387	36.011
13.422	36.011
13.450	39.062
13.454	39.062
13.458	39.062
13.482	36.011
13.516	40.894
13.559	45.776
13.564	37.231
13.588	39.673
13.612	34.790
13.643	40.283
13.677	37.842
13.711	38.452
13.756	39.062
13.784	37.842
13.789	45.776
13.813	37.842
13.876	34.180
13.907	43.335
13.938	36.011
13.969	37.231
13.974	37.231
13.982	36.011
14.011	38.452
14.016	36.011
14.028	45.776
14.067	43.945
14.098	37.842
14.102	39.062
14.110	34.790
14.152	39.062
14.157	41.504
14.181	36.011
14.237	39.062
14.264	40.283
14.268	38.452
14.276	45.166
14.317	34.790
14.322	36.621
14.334	36.011
14.377	37.231
14.409	36.621
14.414	34.790
14.438	34.180
14.471	39.673
14.501	38.452
14.535	39.673
14.569	34.790
14.575	39.062
14.609	38.452
14.637	39.062
14.668	35.400
14.672	35.400
14.677	37.231
14.702	37.231
14.736	38.452
14.768	34.790
14.774	36.621
14.820	36.011
14.847	35.400
14.878	32.349
14.910	37.842
14.940	34.790
14.972	42.725
14.977	39.062
15.003	40.283
15.036	35.400
15.070	38.452
15.095	36.011
15.129	46.387
15.159	39.062
15.163	37.842
15.188	37.231
15.235	39.062
15.262	33.569
15.293	39.062
15.324	34.790
15.355	36.621
15.360	37.842
15.384	37.231
15.439	39.062
15.469	39.062
15.500	37.842
15.504	38.452
15.509	34.180
15.535	37.842
15.570	37.231
15.575	34.790
15.610	40.283
15.637	36.011
15.671	39.062
15.700	37.231
15.704	34.180
15.711	38.452
15.755	37.842
15.784	39.673
15.789	37.231
15.797	29.297
15.825	34.180
15.829	39.673
15.836	34.180
15.877	38.452
15.909	39.062
15.913	45.776
15.920	38.452
15.953	40.283
15.958	36.011
15.965	33.569
16.001	34.790
16.005	34.180
16.009	35.400
16.038	33.569
16.072	36.621
16.117	40.283
16.149	36.621
16.194	45.166
16.199	36.621
16.223	39.062
16.264	35.400
16.295	37.842
16.299	37.231
16.305	42.114
16.329	37.231
16.371	36.621
16.375	33.569
16.380	37.231
16.424	40.894
16.452	39.673
16.483	36.621
16.487	26.855
16.495	34.180
16.542	37.231
16.596	39.062
16.629	37.842
16.634	34.180
16.660	34.790
16.691	39.673
16.720	37.842
16.752	35.400
16.756	36.011
16.761	39.062
16.787	34.790
16.817	34.790
16.847	35.400
16.882	34.180
16.910	36.621
16.944	37.842
16.973	34.790
16.977	34.790
17.004	37.231
17.033	38.452
17.063	37.842
17.095	32.959
17.128	36.011
17.161	35.400
17.165	39.062
17.191	34.180
17.230	37.842
17.262	35.400
17.293	37.842
17.326	33.569
17.357	37.231
17.362	42.725
17.386	34.790
17.391	37.231
17.398	38.452
17.440	36.011
17.470	38.452
17.475	40.894
17.481	45.166
17.504	34.790
17.532	41.504
17.567	36.011
17.572	34.790
17.607	36.621
17.639	37.842
17.643	32.349
17.652	37.231
17.693	32.959
17.724	36.621
17.751	32.349
17.756	36.621
17.760	39.062
17.794	31.128
17.798	43.945
17.802	34.790
17.828	45.776
17.862	33.569
17.893	34.180
17.928	22.583
17.963	32.959
17.967	40.283
17.998	38.452
18.044	38.452
18.049	34.790
18.056	37.231
18.099	36.011
18.130	44.556
18.163	37.231
18.167	34.790
18.172	35.400
18.196	38.452
18.220	38.452
18.254	36.621
18.284	36.011
18.315	32.349
18.347	35.400
18.382	37.231
18.386	36.011
18.412	40.283
18.447	33.569
18.492	29.297
18.524	37.231
18.570	34.180
18.574	42.725
18.609	35.400
18.637	37.231
18.668	41.504
18.672	35.400
18.676	34.180
18.702	36.011
18.736	35.400
18.771	38.452
18.775	34.790
18.801	33.569
18.842	36.011
18.876	32.349
18.908	36.011
18.939	35.400
18.970	31.738
18.975	33.569
18.983	34.180
19.034	40.894
19.068	37.842
19.097	36.011
19.132	37.231
19.161	34.790
19.167	29.907
19.202	35.400
19.233	42.725
19.237	35.400
19.245	37.842
19.282	29.297
19.309	36.621
19.313	37.842
19.324	32.959
19.385	37.231
19.431	25.024
19.436	29.297
19.461	42.114
19.507	31.738
19.536	32.959
19.567	36.011
19.572	34.790
19.597	37.842
19.601	36.621
19.613	37.842
19.639	35.400
19.670	34.790
19.699	38.452
19.730	32.349
19.735	34.790
19.759	33.569
19.815	35.400
19.846	37.231
19.877	33.569
19.881	31.128
19.886	34.790
19.912	31.738
19.947	36.011
19.992	42.114
19.997	34.180
20.025	36.621
20.077	34.790
20.108	28.687
20.138	34.790
20.168	32.349
20.173	42.725
20.178	34.790
20.202	37.842
20.237	25.635
20.272	31.738
20.306	42.725
20.339	29.907
20.386	33.569
20.391	31.128
20.398	36.011
20.440	37.842
20.444	36.011
20.452	33.569
20.481	36.621
20.513	34.180
20.545	34.790
20.574	29.907
20.579	33.569
20.587	32.959
20.626	40.894
20.630	30.518
20.634	34.180
20.660	33.569
20.691	31.128
20.723	32.959
20.753	34.790
20.758	35.400
20.768	33.569
20.797	34.180
20.802	36.011
20.809	32.959
20.843	32.349
20.875	38.452
20.906	42.114
20.910	35.400
20.917	33.569
20.952	34.180
20.956	34.790
20.961	37.842
20.989	29.907
21.024	31.738
21.055	33.569
21.095	37.842
21.130	34.180
21.160	36.621
21.166	31.128
21.191	34.180
21.223	33.569
21.254	37.231
21.283	32.349
21.318	35.400
21.346	34.180
21.352	35.400
21.377	34.790
21.410	40.283
21.445	34.180
21.472	34.790
21.506	42.114
21.535	36.011
21.570	37.231
21.575	34.790
21.600	33.569
21.635	36.011
21.640	40.283
21.644	35.400
21.669	32.959
21.707	32.959
21.742	36.621
21.777	34.790
21.782	31.128
21.807	34.790
21.848	42.114
21.879	35.400
21.908	36.621
21.940	32.349
21.946	26.245
21.972	34.790
22.010	35.400
22.055	29.297
22.087	36.011
22.134	40.283
22.180	33.569
22.186	34.180
22.211	35.400
22.263	38.452
22.267	32.349
22.275	34.790
22.317	36.011
22.322	38.452
22.349	33.569
22.384	31.738
22.388	31.128
22.392	35.400
22.417	34.790
22.460	33.569
22.496	34.790
22.536	36.621
22.570	43.335
22.574	33.569
22.599	33.569
22.634	37.231
22.682	23.804
22.721	29.297
22.754	35.400
22.758	41.504
22.767	36.011
22.798	40.283
22.802	39.673
22.810	33.569
22.843	34.180
22.875	29.907
22.907	32.349
22.911	24.414
22.916	34.180
22.940	35.400
22.972	37.231
22.978	31.128
23.013	36.011
23.044	39.673
23.049	29.297
23.054	32.959
23.080	28.687
23.115	33.569
23.146	34.790
23.181	29.297
23.187	32.959
23.218	30.518
23.250	33.569
23.253	31.738
23.258	36.621
23.284	31.738
23.319	34.790
23.348	39.062
23.353	34.790
23.389	35.400
23.420	34.790
23.449	32.959
23.481	34.180
23.514	32.959
23.542	34.790
23.576	36.621
23.581	32.959
23.605	35.400
23.658	42.725
23.689	29.297
23.723	37.231
23.753	35.400
23.758	40.283
23.783	35.400
23.825	41.504
23.829	29.907
23.836	36.011
23.872	34.790
23.904	31.128
23.908	40.283
23.916	34.790
23.951	34.790
23.986	35.400
23.990	35.400
23.998	34.180
24.053	33.569
24.088	34.790
24.135	33.569
24.183	32.349
24.188	29.907
24.214	33.569
24.260	36.011
24.307	36.621
24.347	33.569
24.380	37.842
24.385	30.518
24.417	31.128
24.451	39.062
24.483	33.569
24.487	32.349
24.495	28.076
24.532	33.569
24.564	32.349
24.569	31.738
24.594	33.569
24.636	34.180
24.667	32.959
24.671	34.790
24.677	40.283
24.703	34.180
24.738	31.738
24.769	34.180
24.775	41.504
24.810	31.738
24.842	31.128
24.874	34.180
24.906	32.959
24.910	35.400
24.917	32.349
24.971	24.414
25.010	31.738
25.014	33.569
25.041	40.894
25.086	34.790
25.118	32.959
25.158	36.621
25.191	36.621
25.196	21.362
25.223	34.790
25.259	33.569
25.263	37.842
25.267	34.790
25.293	36.011
25.340	36.011
25.387	34.180
25.392	36.011
25.427	35.400
25.452	32.959
25.456	31.128
25.460	34.790
25.486	35.400
25.518	23.804
25.554	34.790
25.558	40.894
25.586	34.180
25.622	34.790
25.626	34.180
25.631	34.180
25.656	35.400
25.689	34.790
25.722	29.297
25.752	35.400
25.756	35.400
25.761	35.400
25.796	40.894
25.825	32.959
25.829	33.569
25.836	31.738
25.879	34.180
25.911	36.011
25.944	33.569
25.986	30.518
25.991	34.180
25.998	31.128
26.033	37.231
26.037	31.738
26.062	34.180
26.098	33.569
26.134	29.907
26.180	32.959
26.186	37.231
26.211	32.959
26.257	35.400
26.286	30.518
26.318	33.569
26.348	34.180
26.380	33.569
26.385	28.076
26.411	36.011
26.447	33.569
26.451	30.518
26.455	34.790
26.481	31.738
26.523	31.128
26.555	37.842
26.560	33.569
26.586	36.621
26.638	29.907
26.669	32.959
26.674	36.011
26.678	36.621
26.704	33.569
26.743	27.466
