Time	Load
9.333	14.038
9.361	3.662
9.365	7.324
9.391	7.324
9.445	9.155
9.476	7.935
9.520	6.714
9.550	4.883
9.580	3.662
9.585	4.883
9.608	7.935
9.663	4.272
9.693	6.714
9.724	6.714
9.756	-1.831
9.782	5.493
9.788	4.272
9.813	7.324
9.854	2.441
9.881	6.714
9.914	6.104
9.944	16.479
9.976	6.714
9.981	11.597
10.005	4.272
10.046	4.883
10.076	4.883
10.080	6.714
10.085	6.104
10.108	3.662
10.153	6.104
10.192	6.714
10.197	6.714
10.202	9.766
10.232	4.272
10.236	4.883
10.240	7.324
10.265	9.766
10.311	-1.221
10.347	6.104
10.379	7.324
10.384	5.493
10.409	3.052
10.455	7.935
10.484	3.052
10.515	8.545
10.519	6.714
10.526	9.766
10.568	6.104
10.599	5.493
10.604	-2.441
10.611	7.935
10.642	7.324
10.647	10.376
10.651	2.441
10.676	3.662
10.710	3.662
10.741	-2.441
10.776	8.545
10.781	6.104
10.786	5.493
10.819	10.376
10.850	6.714
10.854	10.376
10.861	5.493
10.892	7.935
10.896	-4.883
10.899	12.207
10.925	10.986
10.966	7.935
10.997	6.714
11.002	9.155
11.026	6.714
11.079	15.259
11.110	7.324
11.148	6.104
11.171	6.714
11.175	4.883
11.199	5.493
11.254	10.376
11.285	8.545
11.290	6.714
11.297	5.493
11.328	3.662
11.361	8.545
11.392	6.714
11.398	6.104
11.402	6.104
11.428	9.155
11.462	5.493
11.496	6.714
11.541	4.883
11.570	7.324
11.575	15.259
11.600	8.545
11.644	6.104
11.673	9.155
11.704	9.766
11.732	7.324
11.737	9.766
11.743	5.493
11.767	1.221
11.772	7.324
11.797	6.714
11.830	8.545
11.863	5.493
11.898	7.935
11.932	4.883
11.966	7.935
12.005	7.935
12.009	3.662
12.033	3.662
12.066	7.935
12.096	4.883
12.131	2.441
12.166	5.493
12.191	14.038
12.196	6.714
12.202	15.259
12.235	6.714
12.267	7.324
12.271	3.662
12.275	6.104
12.300	3.052
12.342	6.714
12.373	5.493
12.379	11.597
12.409	1.831
12.440	6.104
12.474	3.052
12.478	0.610
12.485	5.493
12.519	12.817
12.550	3.052
12.554	14.038
12.578	-3.052
12.625	3.662
12.655	10.376
12.659	7.324
12.667	6.104
12.708	7.935
12.712	6.104
12.720	6.714
12.757	6.714
12.805	8.545
12.839	2.441
12.845	4.883
12.869	6.104
12.903	1.831
12.934	4.883
12.966	6.104
13.005	15.259
13.010	4.883
13.033	5.493
13.077	5.493
13.109	0.610
13.140	2.441
13.144	6.104
13.152	5.493
13.215	3.052
13.255	6.104
13.259	3.662
13.283	14.038
13.315	5.493
13.350	4.883
13.382	9.155
13.387	3.052
13.411	4.272
13.457	6.714
13.484	1.831
13.516	4.883
13.547	2.441
13.551	13.428
13.559	9.766
13.600	3.662
13.604	6.714
13.611	14.038
13.643	5.493
13.672	7.324
13.703	1.831
13.707	3.662
13.715	4.272
13.757	6.104
13.788	4.272
13.793	12.207
13.801	3.662
13.848	7.935
13.879	1.831
13.909	6.104
13.945	6.714
13.978	6.104
13.982	6.104
13.990	6.714
14.022	8.545
14.047	6.104
14.077	4.883
14.109	4.883
14.141	5.493
14.172	6.104
14.176	6.104
14.188	6.104
14.247	3.052
14.283	4.883
14.316	6.104
14.351	4.883
14.382	6.714
14.387	-3.052
14.420	5.493
14.451	7.324
14.482	7.324
14.514	6.104
14.549	7.935
14.553	3.662
14.577	6.714
14.626	8.545
14.656	6.714
14.660	5.493
14.668	6.714
14.702	4.883
14.733	4.883
14.768	-5.493
14.796	-1.831
14.801	9.766
14.827	9.766
14.871	3.662
14.916	3.662
14.943	5.493
14.980	5.493
15.006	10.986
15.011	6.714
15.035	5.493
15.076	2.441
15.081	7.935
15.088	6.104
15.130	4.272
15.162	4.883
15.192	6.714
15.197	6.104
15.202	6.104
15.232	6.714
15.264	4.272
15.299	6.104
15.329	4.272
15.334	7.935
15.339	14.038
15.362	6.714
15.398	4.883
15.402	1.221
15.407	6.714
15.434	4.883
15.479	6.104
15.507	4.272
15.541	4.883
15.579	6.104
15.608	4.883
15.612	6.714
15.617	4.883
15.642	4.883
15.676	6.714
15.710	8.545
15.744	2.441
15.776	4.883
15.781	7.324
15.789	14.648
15.819	9.766
15.823	6.714
15.831	6.104
15.858	1.831
15.890	7.324
15.920	6.104
15.952	3.662
15.956	6.104
15.981	3.662
16.029	3.052
16.061	5.493
16.092	3.662
16.097	4.272
16.107	7.324
16.149	6.714
16.174	6.714
16.179	-4.272
16.188	4.272
16.237	5.493
16.278	0.610
16.310	4.272
16.342	3.662
16.383	5.493
16.418	3.662
16.422	4.272
16.455	4.883
16.483	4.272
16.515	10.376
16.548	6.104
16.577	0.000
16.582	4.272
16.607	9.155
16.653	4.883
16.685	3.662
16.730	5.493
16.775	6.104
16.807	6.714
16.812	1.831
16.836	4.883
16.870	7.324
16.900	7.935
16.935	6.104
16.966	-6.714
17.006	4.272
17.011	5.493
17.036	5.493
17.098	5.493
17.129	3.662
17.133	5.493
17.141	7.935
17.172	6.714
17.203	7.935
17.207	4.883
17.233	7.324
17.279	5.493
17.317	7.935
17.352	2.441
17.382	7.324
17.386	6.104
17.420	11.597
17.424	6.714
17.432	3.662
17.474	5.493
17.478	2.441
17.485	6.104
17.517	3.052
17.548	10.376
17.552	3.662
17.577	0.610
17.632	3.662
17.659	3.662
17.664	7.324
17.672	8.545
17.703	10.376
17.735	6.714
17.740	3.052
17.748	-4.272
17.801	4.272
17.836	4.272
17.840	5.493
17.866	9.155
17.899	8.545
17.931	7.324
17.963	3.052
17.995	0.610
18.000	4.883
18.025	7.935
18.057	0.000
18.092	1.221
18.131	4.883
18.163	5.493
18.192	-9.766
18.198	2.441
18.224	5.493
18.269	6.714
18.303	8.545
18.336	4.883
18.368	7.324
18.399	3.052
18.403	1.831
18.410	1.221
18.445	5.493
18.449	5.493
