Time	Load
0.000	0.00
0.000	87.891
0.021	29.297
0.061	88.501
0.118	120.850
0.159	128.784
0.197	140.991
0.201	135.498
0.212	137.939
0.249	134.277
0.284	135.498
0.329	131.836
0.372	127.563
0.376	132.446
0.381	125.122
0.406	119.019
0.438	136.719
0.461	123.901
0.496	120.850
0.500	119.629
0.508	117.798
0.539	110.474
0.566	112.305
0.607	117.798
0.629	105.591
0.633	101.929
0.641	105.591
0.681	94.604
0.687	104.980
0.710	100.708
0.743	87.280
0.775	93.384
0.808	91.553
0.837	88.501
0.871	90.942
0.901	84.229
0.906	76.294
0.942	83.008
0.974	81.787
1.005	82.397
1.037	79.956
1.068	77.515
1.073	74.463
1.081	78.735
1.139	67.139
1.169	72.632
1.199	73.853
1.229	71.411
1.259	70.801
1.289	63.477
1.294	66.528
1.299	67.139
1.331	66.528
1.372	67.139
1.375	65.308
1.380	66.528
1.406	64.697
1.431	65.308
1.462	66.528
1.494	57.373
1.498	64.087
1.506	59.814
1.537	57.983
1.567	53.711
1.607	50.049
1.629	54.321
1.633	56.152
1.641	56.152
1.681	54.932
1.686	51.880
1.710	59.204
1.744	57.983
1.774	51.270
1.807	46.997
1.836	53.711
1.871	51.880
1.901	52.490
1.906	59.204
1.930	54.932
1.963	50.659
1.993	58.594
2.024	52.490
2.054	50.659
2.089	50.659
2.094	53.101
2.118	51.270
2.147	50.659
2.180	48.218
2.210	48.218
2.243	39.062
2.275	50.049
2.304	42.725
2.310	48.218
2.354	46.387
2.380	41.504
2.384	42.725
2.392	40.283
2.434	46.387
2.439	43.945
2.446	50.659
2.476	41.504
2.503	44.556
2.508	46.387
2.531	43.335
2.566	41.504
2.571	43.335
2.577	42.114
2.598	45.166
2.637	42.725
2.670	39.673
2.700	45.166
2.705	40.894
2.728	44.556
2.771	42.114
2.775	42.725
2.783	43.335
2.817	42.725
2.858	41.504
2.880	38.452
2.885	39.062
2.910	45.166
2.954	40.283
2.983	40.894
3.012	35.400
3.042	39.673
3.075	40.283
3.106	41.504
3.111	32.349
3.144	36.621
3.184	39.673
3.214	38.452
3.218	37.231
3.226	28.687
3.259	35.400
3.305	40.894
3.335	42.725
3.340	35.400
3.364	46.387
3.399	32.959
3.433	34.180
3.465	36.011
3.497	37.231
3.502	33.569
3.525	35.400
3.558	34.180
3.588	35.400
3.622	32.349
3.648	32.349
3.679	34.180
3.711	31.128
3.716	33.569
3.740	30.518
3.794	32.959
3.815	31.738
3.819	31.738
3.823	28.076
3.833	32.349
3.872	20.752
3.902	31.128
3.907	37.231
3.918	29.907
3.971	29.907
4.015	28.687
4.044	29.907
4.080	24.414
4.112	32.349
4.117	19.531
4.140	36.621
4.169	32.349
4.206	37.842
4.236	29.297
4.265	32.349
4.295	38.452
4.300	31.128
4.326	29.907
4.364	29.297
4.404	28.687
4.434	30.518
4.438	30.518
4.446	29.297
4.479	26.245
4.505	29.297
4.511	29.907
4.536	31.128
4.580	29.907
4.623	26.245
4.652	32.959
4.685	20.142
4.690	28.076
4.713	28.687
4.747	29.297
4.773	33.569
4.807	28.687
4.837	26.245
4.871	29.297
4.901	30.518
4.907	26.245
4.929	28.687
4.963	30.518
4.997	31.128
5.024	28.687
5.057	25.024
5.089	29.297
5.094	25.024
5.118	30.518
5.169	29.297
5.173	31.738
5.181	29.907
5.210	38.452
5.214	27.466
5.222	28.076
5.256	31.738
5.287	31.128
5.291	29.907
5.295	28.076
5.340	28.076
5.371	29.907
5.374	36.011
5.378	34.180
5.405	28.687
5.434	28.076
5.462	34.790
5.495	31.128
5.499	29.297
5.507	28.687
5.538	27.466
5.569	26.855
5.599	24.414
5.603	33.569
5.611	25.635
5.651	26.855
5.679	25.024
5.708	27.466
5.712	36.621
5.717	26.855
5.741	26.245
5.775	26.855
5.804	21.362
5.839	25.635
5.872	24.414
5.900	24.414
5.905	21.973
5.928	16.479
5.964	29.907
5.997	20.752
6.024	24.414
6.057	23.804
6.087	23.804
6.092	22.583
6.116	23.804
6.160	17.700
6.191	24.414
6.195	23.804
6.218	24.414
6.223	26.855
6.227	20.752
6.251	23.193
6.285	27.466
6.316	24.414
6.321	25.024
6.328	25.635
6.369	23.804
6.372	26.245
6.377	23.804
6.403	23.193
6.436	23.193
6.460	31.738
6.494	20.752
6.498	18.921
6.506	23.804
6.537	22.583
6.541	21.362
6.546	21.362
6.569	23.193
6.602	21.973
6.635	31.128
6.669	18.921
6.701	21.362
6.706	21.362
6.739	22.583
6.774	23.804
6.778	12.817
6.786	14.038
6.842	21.973
6.846	21.362
6.850	18.921
6.873	20.752
6.902	16.479
6.906	20.142
6.941	19.531
6.982	24.414
6.986	22.583
6.994	22.583
7.030	18.921
7.064	23.193
7.111	23.193
7.149	23.193
7.155	18.921
7.177	25.024
7.212	17.090
7.246	21.973
7.273	25.024
7.308	18.311
7.313	18.311
7.336	23.193
7.369	31.128
7.400	18.921
7.435	21.973
7.461	20.142
7.494	13.428
7.497	9.766
7.505	22.583
7.545	20.752
7.569	17.700
7.599	18.921
7.604	11.597
7.611	19.531
7.652	19.531
