0.030563,2.629025,0
0.04877,2.630211,0.024
0.050071,2.63012,0.047
0.046169,2.62939,0.072
0.035765,2.630302,0.095
0.033814,2.629298,0.117
0.034464,2.629937,0.141
0.035765,2.629572,0.164
0.046169,2.63012,0.188
0.044869,2.630028,0.211
0.014306,2.631123,0.235
0.020158,2.630028,0.258
0.035115,2.629755,0.281
0.031213,2.62939,0.304
0.02406,2.63085,0.326
0.046169,2.629207,0.35
0.040967,2.629755,0.373
0.033814,2.629755,0.397
0.028612,2.629937,0.42
0.040967,2.630393,0.444
0.040317,2.629846,0.467
0.022109,2.629481,0.49
0.031213,2.630028,0.513
0.029912,2.629846,0.535
0.031863,2.630758,0.559
0.02536,2.630302,0.582
0.038366,2.630211,0.606
0.037065,2.630485,0.629
0.035115,2.629298,0.653
0.02341,2.629663,0.676
0.045519,2.629846,0.699
0.050071,2.630211,0.722
0.046819,2.629755,0.744
0.022109,2.629572,0.768
0.026011,2.629572,0.791
0.042918,2.630485,0.815
0.041617,2.630576,0.838
0.044218,2.630576,0.861
0.042267,2.629481,0.884
0.026011,2.63012,0.907
0.036415,2.630393,0.93
0.037065,2.630028,0.952
0.038366,2.631215,0.976
0.042267,2.630393,0.999
0.030563,2.630576,1.023
0.031213,2.629207,1.046
0.044218,2.630028,1.07
0.042918,2.63012,1.093
0.039666,2.629025,1.116
0.039016,2.630667,1.139
0.039666,2.629481,1.161
0.027962,2.630485,1.185
0.02406,2.629298,1.208
0.039666,2.629298,1.232
0.044218,2.630393,1.255
0.034464,2.629846,1.278
0.035765,2.630485,1.301
0.027962,2.62939,1.324
0.026661,2.629663,1.347
0.02406,2.630211,1.369
0.046819,2.629846,1.393
0.044218,2.629937,1.416
0.030563,2.628933,1.44
0.032513,2.629755,1.463
0.037065,2.628933,1.486
0.038366,2.629572,1.509
0.036415,2.629846,1.532
0.037716,2.629937,1.555
0.042267,2.630302,1.577
0.028612,2.63012,1.601
0.02536,2.628933,1.624
0.037065,2.630028,1.648
0.039666,2.628933,1.671
0.030563,2.630576,1.695
0.029912,2.630302,1.718
0.050721,2.629572,1.741
0.04942,2.630211,1.764
0.046819,2.629663,1.786
0.02341,2.629846,1.81
0.026661,2.630028,1.833
0.052672,2.629572,1.857
0.04812,2.629663,1.88
0.044218,2.629481,1.903
0.04747,2.630393,1.926
0.02536,2.629755,1.949
0.02341,2.629207,1.972
0.02406,2.629755,1.994
0.044869,2.630028,2.018
0.046169,2.629663,2.041
0.029912,2.630211,2.065
0.029262,2.630485,2.088
0.043568,2.629846,2.111
0.04812,2.630211,2.134
0.037065,2.629755,2.157
0.034464,2.629663,2.18
0.040967,2.629298,2.202
0.029262,2.629663,2.226
0.026661,2.629755,2.249
0.042267,2.62939,2.273
0.042918,2.629846,2.296
0.02536,2.629663,2.32
0.02536,2.629116,2.343
0.046819,2.62939,2.366
0.036415,2.63012,2.389
0.040317,2.62939,2.411
0.026011,2.63012,2.435
0.027962,2.629663,2.458
0.039666,2.630758,2.482
